날짜,제조업,음식료품,섬유의복,종이목재,화학,의약품,비금속광물,철강금속,기계,전기전자,의료정밀,운수장비,유통업,전기가스업,건설업,운수창고업,통신업,금융업,은행,증권,보험,서비스업
2000-01-01,1186.95,1140.02,355.4,381.45,797.7,964.28,500.98,1477.68,399.13,4250.02,785.91,282.71,287.89,961.33,101.24,726.69,809.01,328.16,160.37,2315.58,3397.18,760.89
2000-02-01,1051.13,1064.9,350.45,327.25,716.03,1264.12,411.56,1254.39,378.2,3704.27,870.82,217.45,240.64,811.02,77.23,673.5,753.98,253.12,112.39,1906.11,2812.4,952.39
2000-03-01,1196.83,1074.09,375.93,354.76,755.94,1201.82,435.58,1225.27,346.24,4655.3,747.86,226.72,265.52,898.48,74.7,733.95,703.72,213.12,104.76,1397.07,2451.53,810.17
2000-04-01,1017.99,911.25,313.76,305.77,624.65,997.37,411.75,998.09,279.67,4009.41,649.91,188.3,221.81,903.47,69.75,550.21,540.78,180.92,101.69,987.68,1947.97,655.84
2000-05-01,979.88,771.48,250.99,230.29,527.9,873.13,360.92,977.54,239.36,3971.4,521.46,200.83,187.06,842.2,62.24,433.71,643.54,185.72,103.74,1072.9,2118.68,630.57
2000-06-01,1119.46,1024.68,259.71,234.32,580.4,915.45,386.5,1079.77,247.72,4621.94,568.96,223.61,197.76,950.53,67.57,488.36,672.77,225.99,130.13,1254.83,2413.68,649.64
2000-07-01,966.63,887.04,248.88,222.84,531.98,834.53,399.98,1049.44,230.45,3766.44,454.09,225.17,204.63,889.33,55.54,451.72,526.17,207.58,118.2,1203.14,2077.67,543.46
2000-08-01,950.35,877.24,275.08,238.42,547.35,848.08,484,981.15,243.12,3629.65,434.82,235.52,188.59,898.21,61.2,442.78,479.94,209.31,119.1,1217.64,2249.02,521.86
2000-09-01,796.38,825.45,271.78,236.46,508.83,928.15,445.09,973.96,202.97,2801.28,345.2,206.96,162.37,808.58,51.18,370.68,466.88,204.99,121.08,1148.58,2230.48,447.31
2000-10-01,626.85,730.19,231.31,200.55,440.28,787.31,431.83,800.41,160.47,1985.64,242.2,191.4,134.05,708.7,38.26,301.79,437.71,175.18,111.98,839.68,1934.01,386.87
2000-11-01,648.82,684.5,238.4,190.6,424.06,858.18,419.97,857.06,166.76,2091.71,222.61,207.89,127.67,644.36,39.47,289.35,416,169.71,108.78,805.62,1991.8,373.94
2000-12-01,623.29,628.81,200.56,174.64,426.7,779.38,384.12,908.39,145.39,1957.68,188.29,200.08,120.24,663.83,40.85,310.66,443.42,162.38,103.19,800.92,1850.52,330.94
2001-01-01,788.13,641.3,250.03,195.92,481.81,933.41,458.9,1118.07,166.36,2708.62,296.94,242.98,157.45,721.8,56.24,375.97,484.02,224.62,126.37,1394.79,2568.07,434.97
2001-02-01,743.74,702.25,272.56,199.58,490.22,992.86,474.26,1183.5,187.16,2339.24,273.57,250.49,157.9,715.01,51.77,363.93,403.55,225.49,125.85,1433.57,2473.68,462.12
2001-03-01,738.59,638.62,248.46,181.2,462.23,912.12,429.96,1073.52,183.25,2419.97,237.18,258.94,142.18,573.93,39.4,298.59,346.42,175.15,99.25,1064.88,2108.67,394.16
2001-04-01,792.91,670.51,240.92,181.08,487.58,871.43,456.66,1142.03,201.46,2627.73,260.71,282.72,156.46,634.39,41.31,305.56,408.05,200.35,110.32,1275.3,2417.78,342.45
2001-05-01,850.11,780.25,299.64,199.67,567.09,1049.63,535.13,1211.75,275.6,2615.25,270.42,335.11,182.84,685.23,52.58,360.9,382.83,225.1,121.42,1460.19,2878.1,398.18
2001-06-01,831.12,775.52,292.92,198.6,571.02,1046.63,578.8,1199.04,317.58,2394.46,270.44,370.08,189.06,682.43,58.01,342.47,341.11,226.93,128.53,1330.78,3130.09,397.69
2001-07-01,735.11,689.09,268.89,174.47,497.89,977.46,468.4,1026.07,265.16,2196.04,214.13,306.33,169.71,589.66,46.52,304.49,358.21,204.44,120.01,1141.03,2743.73,332.52
2001-08-01,722.74,706.82,242.98,175.97,522.08,1010.4,451.42,1033.67,261.85,2145.21,190.21,280.41,161.99,637.64,54.92,297.5,366.49,207.74,121.93,1167.3,2764.09,332.3
2001-09-01,610.21,699.53,199.8,157.78,499.02,955.15,441.25,926.85,212.99,1632.11,150.47,245.28,148.96,592.08,54.39,242.78,329.2,191.55,114.69,1042.02,2542.4,315.59
2001-10-01,700.05,726.35,225.28,175.53,526.39,1048.47,480.67,1028.11,229.91,1982.82,172.88,282.94,158.57,582.75,52.57,253,374.26,217.08,133.34,1142.72,2959.52,363.99
2001-11-01,844.88,844.68,240.89,208,618.15,1118.99,544.66,1219.46,260.61,2537.16,202.82,326.26,196.76,649.07,64.31,333.41,409.3,282.13,159.41,1622.57,3988.37,420.22
2001-12-01,952.18,916.05,230.45,236.51,647.61,1102.85,551.19,1354.71,266.41,3089.59,242.06,329.93,211.43,615.94,64.57,344.71,403.3,307.75,176.22,1738.91,4240.13,434.95
2002-01-01,1049.91,1106.75,274.04,270.32,718.32,1191.44,717.66,1475.02,299.87,3388.27,317.53,365.53,247.38,611.79,70.29,485.17,382.62,342.94,203.82,1836.8,4724.88,501.71
2002-02-01,1180.35,1170.24,281.6,284.9,815.86,1191.36,748.94,1667.16,330.62,3830.79,343.63,428.33,280.06,620.66,72.6,614.89,421.65,356.4,207.92,2038.9,5080.92,550.32
2002-03-01,1309.74,1314.03,306.95,339.58,917.37,1399.04,923.67,1653.41,386.27,4254.39,345.2,497.92,333.08,696,73.21,698.04,462.25,364.25,210.96,2052.17,5850.63,650.34
2002-04-01,1262.94,1227.54,288.68,273.66,828.9,1218.74,752.56,1500.9,338.26,4245.82,276.94,497.97,301.26,682.23,58.91,676.43,413.54,344.15,210.97,1650.76,6309.3,425.42
2002-05-01,1157,1203.81,306.32,267.84,790.86,1096.35,686.94,1578.46,308.44,3821.34,245.35,416.56,261.11,699.11,54.2,612.81,416.93,339.71,222.64,1517.51,5496.05,376.68
2002-06-01,1091.53,1146.33,209.08,244.47,764.12,1034.46,643.33,1537.79,284.85,3581.01,216.83,401.28,261.93,621.4,51.84,525.71,396.59,303.38,205.54,1321.85,5197.05,373.31
2002-07-01,1066.44,1153.57,204.67,251.44,731.34,981.79,636.51,1385.1,261.93,3597.59,244.63,374.61,252.59,610.25,55.08,567.05,347.88,298.9,194.78,1358.68,5510.36,351.94
2002-08-01,1069.36,1121.56,193.15,264.18,742.96,1046.57,639.53,1284.82,269.3,3644.7,254.77,378.38,264.04,609.3,60.72,525.44,387.66,311.25,202.87,1484.69,5645.7,312.74
2002-09-01,936.58,1044.7,155.86,229.7,629.35,985.18,627.55,1234.31,226.65,3164.65,208.6,310.01,229.7,599.73,49.28,370.09,386.69,249.3,166.08,1184.45,4816.28,254.57
2002-10-01,1015.16,949.44,169.43,231.16,655.89,955.06,598.76,1314.32,238.6,3566.93,226.22,338.37,215.06,549.9,47.27,443.5,362.18,240.06,154.05,1270.53,4996.52,249.23
2002-11-01,1124.5,1030.8,168.46,244.58,713.79,965.12,641.45,1437.76,255.22,4022.47,242.44,379.75,234.74,588.74,52.57,500.29,390.89,263.49,169.01,1370.71,5097.21,284.69
2002-12-01,949.97,884.43,132.77,185.5,642.73,884.41,573.03,1342.13,223.86,3264.61,224.05,320.79,190.25,544.96,44.87,400.58,366.83,229.35,152.12,1139.4,4382.43,252.14
2003-01-01,901.01,865.81,111.94,182.91,634.78,835.4,550.01,1314.66,205.63,3030.72,224.4,304.55,186.33,533.64,42.24,416.77,312.17,222.95,147.44,1017.1,4069.34,246.79
2003-02-01,880.6,823.61,116.22,174.48,613.95,871.51,572.88,1244.55,210.11,2945.31,217.52,308.19,182.91,544.95,44.46,442.7,286.79,214.85,139.34,1038.66,3918.62,245.02
2003-03-01,853.38,800.41,95.57,161,570.31,892.16,566.18,1122.26,209.61,2925.29,205.89,294.71,154.24,548.68,46.14,349.62,274.5,170.59,108.86,867.97,3463.67,236.5
2003-04-01,936.41,927.08,94.82,168.64,649.28,1008.17,661.06,1193.64,247.6,3120.11,233.62,348.38,167.28,614.9,54.87,432.16,309.99,199.59,128.59,998.09,4136.97,278.68
2003-05-01,998.55,1050.57,99.3,176.82,721.78,1114.09,713.85,1269.83,278.77,3275.26,253.31,365.15,189.68,607.54,62.31,511.14,317.6,209.81,128.95,1079.4,4561.75,281.52
2003-06-01,1078.66,1063.45,99.24,179.62,746.11,1120.15,744.09,1407.31,295.1,3662.06,291.59,380.85,196.04,582.28,59.96,540.09,331.42,219.75,134.41,1205.15,4253.88,298.37
2003-07-01,1188.18,1129.74,94.48,175.58,757.36,1237.18,778.34,1571.23,308.39,4201.01,321.94,404.41,208.51,577.16,58.13,524.75,324.19,230.82,142.18,1192.67,4269.86,307.3
2003-08-01,1266.7,1084.16,91.57,186.73,822.73,1205.81,923.94,1578.99,368.08,4470.2,365.01,461.61,215.22,586.68,62.12,676.15,321.74,258.18,163.25,1281.96,4784.23,313.83
2003-09-01,1142.88,1042.28,85.18,177.83,755.09,1110.43,810.58,1490.99,326.69,3984.7,295.01,400.37,195.87,649.43,61.08,629.51,307.48,227.15,146.04,1019.2,4557.68,315.02
2003-10-01,1315.14,1192.9,80.37,171.84,872.41,1132.29,852.44,1583.45,376.67,4675.69,300.19,478.14,214.31,681.66,58.96,821.19,334.93,247.65,170.22,1041.73,4875.43,339.59
